feature_id	Domain	Phylum	Class	Order	Family	Genus	Species
303dadb7d36a216bf04fcbf13c409e43	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella 7	Prevotella 7 NA
304100ff8b2e4254d8b5f0ed8e39847c	Bacteria	Firmicutes	Clostridia	Clostridia NA	Clostridia NA	Clostridia NA	Clostridia NA
30438e688ce46456f26ba72a908a67ef	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides NA
30439fa91f613ba0de53a48148b9b324	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella NA
304431afe50c77b9229dcb1f238d9ce0	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus salivarius
304432a039cc4ae85711d258cd79471b	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella 7	Prevotella multiformis
304766e996533ece945eda3371071404	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Saccharimonadaceae	Saccharimonadaceae NA	Saccharimonadaceae NA
305b4f882fd32fa74d57b84ff6e3a995	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Selenomonadaceae	Selenomonadaceae NA	Selenomonadaceae NA
30614fe0b8cc5d0fb79f3afde9bd2602	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Rikenellaceae RC9 gut group	Bacteroidales genomosp.
306489adb38cf14a3913bd22e63c5d57	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus NA
3064bfa9e14b81761a833921f02f1348	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacteriaceae NA	Enterobacteriaceae NA
3069fd15f212f0665a11fa05f75636d5	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Anaerovoracaceae	[Eubacterium] brachy group	[Eubacterium] brachy group NA
3073ac162b816e18a9e5ab54650db14a	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides NA
3075f54c5119effbdbb10883656c16a0	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Selenomonadaceae	Selenomonas	Selenomonas NA
3075fea6b075ac1c39f656bc3845eab4	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes NA
307b5e0daacd3881e17c17ee80692684	Bacteria	Firmicutes	Clostridia	Christensenellales	Christensenellaceae	Christensenellaceae R-7 group	gut metagenome
307e6045e73747984bbba9a97b7c8d9a	Bacteria	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcaceae NA	Acidaminococcaceae NA
308743294b6922e1d8442fa2201c0be3	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema	uncultured bacterium
308be617c63a5eb55a4ec643c1018d7e	Bacteria	Firmicutes	Bacilli	Izemoplasmatales	Izemoplasmatales	Izemoplasmatales	gut metagenome
309540d16ab7dc4ea7226d2a05eed4e1	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Capnocytophaga	Capnocytophaga granulosa
309f9d6c3288dd1fe3b78a12d9f54827	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides massiliensis
30a578ab330f847fc825a5ce32575eed	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	Porphyromonas pasteri
30ab31170f77683496c3e8ddbd14199d	Bacteria	Synergistota	Synergistia	Synergistales	Synergistaceae	Fretibacterium	Fretibacterium NA
30ab791a2769cc4b240ab0244f235b5a	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Shuttleworthia	Shuttleworthia NA
30add04dd897547503758070e10bf645	Bacteria	Firmicutes	Clostridia	Clostridia UCG-014	Clostridia UCG-014	Clostridia UCG-014	Clostridia UCG-014 NA
30ade2b7e1cbdaea3bc6d5665d768205	Bacteria	Actinobacteriota	Actinobacteria	Actinomycetales	Actinomycetaceae	F0332	F0332 NA
30b99c10c1e7a00d25117105ec517fb0	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae UCG-004	Lachnospiraceae UCG-004 NA
30bb3e5843fa4f52386d2b93a37615d3	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Holdemanella	Holdemanella NA
30bf1eb3df718dfa151dfd446b559a4b	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium NA
30c0f126a7993b0ab908089f49c524bd	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Anaerofilum	Anaerofilum NA
30c6d54219dd3cfad68023bb25a3819d	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Neisseriaceae	Neisseria	Neisseria NA
30c97aa664b07b56b3f5cf43940bc241	Bacteria	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Phascolarctobacterium	Phascolarctobacterium NA
30cd7049e525ccb94174d44e8d71fb91	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	Parabacteroides NA
